"Factor","Species","Method","Data accession","Pubmed ID","Binding sites"
"AGO1","Human","PAR-CLIP","GSE21578;GSM545212","20371350","AGO1"
"AGO1","Human","PAR-CLIP","GSE43573;GSM1065667","23446348","AGO1"
"AGO1","Human","PAR-CLIP","GSE43573;GSM1065668","23446348","AGO1"
"AGO1","Human","PAR-CLIP","GSE43573;GSM1065669","23446348","AGO1"
"AGO2","Human","PAR-CLIP","GSE21578;GSM545213","20371350","AGO2"
"AGO2","Human","HITS-CLIP","GSE28865;GSM714642","21572407","AGO2"
"AGO2","Human","HITS-CLIP","GSE28865;GSM714643","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE28865;GSM714644","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE28865;GSM714645","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE28865;GSM714646","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE28865;GSM714647","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE32113;GSM796037","22100165","AGO2"
"AGO2","Human","PAR-CLIP","GSE32113;GSM796038","22100165","AGO2"
"AGO2","Human","PAR-CLIP","GSE32113;GSM796039","22100165","AGO2"
"AGO2","Human","PAR-CLIP","GSE32113;GSM796040","22100165","AGO2"
"AGO2","Human","HITS-CLIP","GSE41357;GSM1015450","22927820","AGO2"
"AGO2","Human","HITS-CLIP","GSE41357;GSM1015451","22927820","AGO2"
"AGO2","Human","HITS-CLIP","GSE41357;GSM1015452","22927820","AGO2"
"AGO2","Human","HITS-CLIP","GSE41357;GSM1015453","22927820","AGO2"
"AGO2","Human","HITS-CLIP","GSE41357;GSM1015454","22927820","AGO2"
"AGO2","Human","PAR-CLIP","GSE41437;GSM1020021","22291592","AGO2"
"AGO2","Human","PAR-CLIP","GSE41437;GSM1020022","22291592","AGO2"
"AGO2","Human","PAR-CLIP","GSE41437;GSM1020023","22291592","AGO2"
"AGO2","Human","PAR-CLIP","GSE41437;GSM1020024","22291592","AGO2"
"AGO2","Human","PAR-CLIP","GSE41437;GSM1020025","22291592","AGO2"
"AGO2","Human","HITS-CLIP","GSE42701;GSM1048187","23313552","AGO2"
"AGO2","Human","HITS-CLIP","GSE42701;GSM1048188","23313552","AGO2"
"AGO2","Human","PAR-CLIP","GSE43573;GSM1065670","23446348","AGO2"
"AGO2","Human","PAR-CLIP","GSE43666;GSM1067869","21572407","AGO2"
"AGO2","Human","PAR-CLIP","GSE43666;GSM1067870","21572407","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084040","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084041","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084042","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084043","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084044","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084045","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084046","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084047","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084064","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084065","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084066","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084067","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084068","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084069","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084072","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084073","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084074","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084075","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084076","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084077","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084078","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084079","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084080","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084081","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084082","23824327","AGO2"
"AGO2","Human","HITS-CLIP","GSE44404;GSM1084083","23824327","AGO2"
